Price,Bedroom,Bathroom,Square feet,Street,City/State
"$1,050,000",5bd,3ba,"1,003 sqft",3839-3841 Judah St,"Outer Sunset, San Francisco, CA"
"$1,550,000",2bd,3ba,"1,175 sqft",31 Emerson St #31A,"Laurel Heights, San Francisco, CA"
"$3,800,000",6bd,5ba,"1,590 sqft",2901-2903 Baker St,"Cow Hollow, San Francisco, CA"
"$899,000",6bd,4ba,"2,874 sqft",470 Athens St,"Excelsior, San Francisco, CA"
"$1,800,000",5bd,5ba,"3,060 sqft",41-43 Miguel St,"Glen Park, San Francisco, CA"
"$1,025,000",3bd,4ba,"2,900 sqft",339-341 Paris St,"Excelsior, San Francisco, CA"
"$4,950,000",4bd,3ba,"2,400 sqft",115 Sanchez St #117,"Duboce Triangle, San Francisco, CA"
"$10,750,000",2bd,1ba,"1,220 sqft",501-509 Haight St,"Hayes Valley, San Francisco, CA"
"$750,000",3bd,4ba,"3,705 sqft",900 Bush St #521,"Downtown, San Francisco, CA"
"$1,179,000",2bd,2ba,"1,866 sqft",175 Russ St #12,"SoMa, San Francisco, CA"
"$899,000",1bd,4ba,"1,950 sqft",2625 Judah St #1,"Central Sunset, San Francisco, CA"
"$1,799,000",2bd,2ba,"2,900 sqft",654-656 33rd Ave,"Outer Richmond, San Francisco, CA"
"$1,298,000",3bd,3ba,"2,075 sqft",393 30th Ave,"Central Richmond, San Francisco, CA"
"$2,995,000",3bd,1ba,"2,032 sqft",1227-1231 San Bruno Ave,"Potrero Hill, San Francisco, CA"
"$985,000",3bd,2ba,"2,172 sqft",201 Sansome St #604,"Downtown, San Francisco, CA"
"$799,000",1bd,2ba,"2,386 sqft",167 Vienna St,"Excelsior, San Francisco, CA"
